,Dates,Score,Change in SPY,predicted_change,true_change
531,2/10/22,3.116428679,6.600006104,1.528239,57.281500108550844
532,2/11/22,2.743186,-8.220001221,1.5261719,-75.4861257237019
533,2/14/22,0.33142,-8.860015869,1.5202872,-81.21980880829004
534,2/15/22,2.99955879,-1.440002441,1.5278873,-14.746321658445133
535,2/16/22,2.4555268,7.08001709,1.5291365,61.581762421991954
536,2/17/22,4.3929123,0.5,1.5221292,2.633529279
537,2/18/22,3.372155,-9.540008545,1.514757,-87.31164204399596
538,2/22/22,0.761823457,-2.829986572,1.5130862,-27.19873743465508
539,2/23/22,-0.80486444,-4.660003662,1.5231111,-43.59326538214704
540,2/24/22,1.36745,-7.619995117,1.5262669,-70.11086617315105
541,2/25/22,-1.364384,6.349975586,1.5318134,55.041558013213965
542,2/28/22,0.41185,9.450012207,1.52461,82.81377790064302
543,3/1/22,3.5185,-1.119995117,1.5162693,-11.879480116151058
544,3/2/22,1.434901,-6.649993896,1.5159366,-61.42094069994914
545,3/3/22,2.5458872,7.910003662,1.5052176,69.01734219064703
546,3/4/22,1.3042578,-2.180023193,1.4982572,-21.375926904584123
547,3/7/22,1.110389789,-3.539978027,1.4858581,-33.5593199751591
548,3/8/22,1.5151,-12.74002075,1.4795417,-115.97951067422163
549,3/9/22,0.87544456,-3.179992676,1.4845079,-30.334328290705923
550,3/10/22,0.475359456,11.16000366,1.4951264,98.13303520122967
551,3/11/22,2.735903,-1.929992676,1.4960513,-19.135984818205923
552,3/14/22,0.2781183,-5.410003662,1.5068098,-50.31227146564704
553,3/15/22,1.866609457,-3.070007324,1.5094072,-29.34900529179407
554,3/16/22,2.042157919,9.170013428,1.4997939,80.30535990134493
555,3/17/22,3.1667234,9.449981689,1.4990784,82.81350449980613
556,3/18/22,1.94594829,5.450012207,1.4952215,46.979078788643015
557,3/21/22,0.53556789,3.449981689,1.4976994,29.061455831806136
558,3/22/22,3.44376789,-0.129974365,1.5014007,-3.0102061755120664
559,3/23/22,3.062106,5.199981689,1.5039504,44.739136693306136
560,3/24/22,1.431220257,-5.790008545,1.5096859,-53.716611626495975
561,3/25/22,0.9824,6.690002441,1.5171162,58.08774802294512
562,3/28/22,1.082357456,2.200012207,1.5153848,17.86338576014301
563,3/29/22,2.1870148,3.220001221,1.5223182,27.0011356137019
564,3/30/22,2.14671805,5.639984131,1.5218365,48.68097547270995
565,3/31/22,1.358408,-2.849975586,1.5201887,-27.377812510213964
