,Data,Positive Score,Negative Score,Neutral Score,Change in SPY,predicted_change,true_change
462,11/2/21,4.036459446,17.09640878,40.17634183,0.790008545,0.33805227,-3.16998291
463,11/3/21,10.47839838,14.42663017,48.47429699,1.859985352,0.23719484,6.899993896
464,11/4/21,10.65153769,18.94637206,61.21719044,2.820007324,0.55904776,9.190002441
465,11/5/21,8.224152029,20.01153302,63.960334,2.190002441,0.261705,-0.139984131
466,11/8/21,5.26023972,6.326848447,23.77806431,1.619995117,0.64231116,7.800018311
467,11/9/21,6.724232048,19.22263047,37.65353823,0.399993896,0.5346469,-1.929992676
468,11/10/21,6.895412624,16.48309004,54.88956362,-1.549987793,0.44310322,0.929992676
469,11/11/21,11.88315219,30.39042163,46.57330868,-3.760009766,0.33172536,-5.790008545
470,11/12/21,3.589131445,15.58937433,44.03470564,0.149993896,0.28635213,-3.089996338
471,11/15/21,2.390101969,12.22515768,23.92899913,3.5,0.14266913,0.729980469
472,11/16/21,4.575418651,21.66128689,38.87836713,0.160003662,0.31260136,-5.770019531
473,11/17/21,10.39184892,18.53693661,46.87698588,1.850006104,0.2297867,-6.269989014
474,11/18/21,13.40749753,19.065997,49.43504527,-1.139984131,0.15855524,7.220001221
475,11/19/21,6.015420198,19.53623167,53.08916783,1.589996338,0.24753496,-6.649993896
476,11/22/21,5.774196386,8.365500003,19.28928322,-0.839996338,0.20961744,-7.619995117
477,11/23/21,6.813430578,20.27756956,40.1034421,-1.320007324,0.2863158,-3.089996338
478,11/24/21,6.563597977,13.95437393,45.19001099,0.619995117,0.1580905,-6.58001709
479,11/26/21,2.24100244,12.89269823,23.81245717,1.25,0.17094782,-1.479980469
480,11/29/21,1.728912115,9.984394252,27.72456282,-10.47000122,0.30538908,0.190002441
481,11/30/21,5.434240818,17.12854248,39.76075721,5.630004883,0.2688477,1.509979248
482,12/1/21,8.89415729,22.06355217,37.26452377,-9.040008545,0.20241311,1.5
483,12/2/21,6.119968712,20.77609769,40.08604246,-5.059997559,0.39599234,-9.040008545
484,12/3/21,8.260309577,24.394187,47.51421136,6.899993896,0.3311007,-5.75
485,12/6/21,5.419491649,10.71835184,22.56412798,-3.979980469,0.4212417,-3.170013428
486,12/7/21,7.535850227,14.50532186,43.7101419,5.369995117,0.31603354,3.820007324
487,12/8/21,12.71125591,24.84210557,48.90145588,9.489990234,0.24251014,-1.269989014
488,12/9/21,9.590913236,14.13959476,48.60238707,1.239990234,0.3683408,-2.139984131
489,12/10/21,8.180792212,23.98573843,49.41818556,-3.16998291,1.2090579,-0.790008545
490,12/13/21,4.359616578,7.728368163,27.0472714,4.389984131,0.5142729,0.91998291
