Data,Positive Score,Negative Score,Neutral Score,Change in SPY
7/6/21,5.156543314,16.24798834,22.48806545,-0.790008545
7/7/21,10.27936098,20.11527157,36.72120929,1.529998779
7/8/21,10.68332678,13.73880512,45.12863809,-3.539978027
7/9/21,8.259833336,10.95901644,56.84974509,4.599975586
7/12/21,2.475154579,4.076616585,25.03975657,1.559997559
7/13/21,7.529954612,17.25063819,47.50954959,-1.489990234
7/14/21,11.76575285,21.77643514,41.21272793,0.649993896
7/15/21,10.35232985,11.65225503,44.34916675,-1.489990234
7/16/21,7.100636244,24.3061384,51.62699991,-3.410003662
7/19/21,2.932169974,10.64049214,21.83994764,-6.369995117
7/20/21,9.023836553,23.15028161,40.5779978,6.089996338
7/21/21,4.89080748,15.25186795,45.89514637,3.489990234
7/22/21,8.792754471,17.5648945,40.50935316,0.910003662
7/23/21,8.09436962,17.17311123,41.8047623,4.480010986
7/26/21,2.986265004,11.60496625,17.97111446,1.079986572
7/27/21,7.203399122,14.67944282,36.50636655,-2.009979248
7/28/21,15.57325166,15.39622506,39.68481135,-0.180023193
7/29/21,12.50214177,15.97908846,40.90630895,1.820007324
7/30/21,9.735755563,21.75783587,51.33357027,-2.139984131
8/2/21,3.532886386,9.776806742,18.1626963,-0.920013428
8/3/21,3.995524168,18.15060893,33.68671322,3.559997559
8/4/21,10.03176647,16.61510724,40.11020324,-2.16998291
8/5/21,8.72071448,29.73024642,34.80406025,2.779998779
8/6/21,7.442312777,17.84205979,48.7990247,0.729980469
8/9/21,2.967833072,12.06523374,18.2839244,-0.359985352
8/10/21,6.228688359,22.83893669,31.73699456,0.549987793
8/11/21,6.074680805,20.6813339,48.5925467,1.100006104
8/12/21,10.98400307,20.92657954,35.8909514,1.329986572
8/13/21,9.214705855,14.76120642,53.30413467,0.810028076
8/16/21,0.947584152,8.393334627,21.6345095,1.049987793
8/17/21,5.726511508,10.88547319,33.47002888,-2.929992676
8/18/21,8.195867479,19.72785258,36.0591782,-4.860015869
8/19/21,7.876693696,18.74310362,41.41797936,0.679992676
8/20/21,4.651775301,22.62698972,47.65135854,3.5
8/23/21,1.250837862,8.002438843,24.23010728,3.900024414
8/24/21,4.825142264,14.11221704,36.87923521,0.709991455
8/25/21,4.814374,17.10496515,39.82910025,0.940002441
8/26/21,6.300210565,18.61038655,42.05462164,-2.649993896
8/27/21,4.329923034,17.75704679,53.0310739,3.989990234
8/30/21,1.859026849,11.50372064,18.46114674,1.980010986
8/31/21,6.46810329,15.14942378,28.54163927,-0.670013428
9/1/21,7.43644008,24.72304219,34.449083,0.239990234
9/2/21,5.659646213,19.43637425,43.59343219,1.390014648
9/3/21,2.39099288,23.81350386,44.58081865,-0.110015869
9/7/21,4.636150181,12.85724729,30.76758724,-1.619995117
9/8/21,5.883192867,10.75099617,46.74022084,-0.549987793
9/9/21,6.965831816,18.87711197,50.60183534,-1.929992676
9/10/21,8.824674517,16.16445249,55.28919587,-3.540008545
9/13/21,2.306937337,10.94989449,18.775426,1.139984131
9/14/21,5.881697834,14.08160973,45.0799633,-2.409973145
9/15/21,7.052231848,25.02902591,35.95353577,3.709991455
9/16/21,7.683213651,21.52976319,51.42013693,-0.709991455
9/17/21,6.529616714,19.8486574,48.87659788,-5.770019531
9/20/21,3.231056929,4.668886065,27.06335318,-7.359985352
9/21/21,3.892617345,15.29446891,36.95935002,-0.410003662
9/22/21,3.548051953,20.74353641,49.99582741,4.229980469
9/23/21,8.860195607,17.97232911,50.208736,5.320007324
9/24/21,5.018193722,17.6049571,52.32580957,0.730010986
9/27/21,3.24977237,8.203653753,16.78633112,-1.269989014
9/28/21,7.206727684,20.01856154,38.58820158,-8.920013428
9/29/21,9.328144252,19.69046995,36.0570749,0.730010986
9/30/21,4.779335618,16.29954243,35.86261186,-5.309997559
10/1/21,2.360105038,30.5181728,48.60567209,5.099975586
10/4/21,0.908117592,13.83428562,17.50742352,-5.599975586
10/5/21,6.390409201,9.748641849,41.15764391,4.459991455
10/6/21,7.661751807,14.61672086,33.21586335,1.799987793
10/7/21,4.151061654,21.28332099,47.49074957,3.760009766
10/8/21,7.416389227,13.9007718,42.47711772,-0.800018311
10/11/21,1.105913281,12.87600151,23.00433218,-3.16998291
10/12/21,4.456684828,9.507918924,40.10252509,-1.070007324
10/13/21,5.79286617,21.22231141,53.83674791,1.559997559
10/14/21,8.008973569,13.47282392,45.10539317,7.320007324
10/15/21,12.30188024,25.85340276,53.24706906,3.369995117
10/19/21,2.347492039,7.993097186,19.88507035,1.320007324
10/20/21,14.8124488,25.72212216,42.0532645,3.450012207
10/21/21,8.93821156,21.20699435,41.88143778,1.769989014
10/22/21,8.99184382,28.99316707,60.73914933,1.179992676
10/25/21,3.77163744,11.02604839,26.17070603,-0.470001221
10/26/21,8.131609619,16.19932353,37.26584926,2.429992676
10/27/21,11.52240598,18.66987759,40.71278262,0.410003662
10/28/21,8.810322285,19.36790437,43.12269962,-2.019989014
10/29/21,11.74564984,29.26116088,50.48925745,4.380004883
11/1/21,3.967349648,9.972586393,21.8134197,0.929992676
11/2/21,4.036459446,17.09640878,40.17634183,0.790008545
11/3/21,10.47839838,14.42663017,48.47429699,1.859985352
11/4/21,10.65153769,18.94637206,61.21719044,2.820007324
11/5/21,8.224152029,20.01153302,63.960334,2.190002441
11/8/21,5.26023972,6.326848447,23.77806431,1.619995117
11/9/21,6.724232048,19.22263047,37.65353823,0.399993896
11/10/21,6.895412624,16.48309004,54.88956362,-1.549987793
11/11/21,11.88315219,30.39042163,46.57330868,-3.760009766
11/12/21,3.589131445,15.58937433,44.03470564,0.149993896
11/15/21,2.390101969,12.22515768,23.92899913,3.5
11/16/21,4.575418651,21.66128689,38.87836713,0.160003662
11/17/21,10.39184892,18.53693661,46.87698588,1.850006104
11/18/21,13.40749753,19.065997,49.43504527,-1.139984131
11/19/21,6.015420198,19.53623167,53.08916783,1.589996338
11/22/21,5.774196386,8.365500003,19.28928322,-0.839996338
11/23/21,6.813430578,20.27756956,40.1034421,-1.320007324
11/24/21,6.563597977,13.95437393,45.19001099,0.619995117
11/26/21,2.24100244,12.89269823,23.81245717,1.25
11/29/21,1.728912115,9.984394252,27.72456282,-10.47000122
11/30/21,5.434240818,17.12854248,39.76075721,5.630004883
12/1/21,8.89415729,22.06355217,37.26452377,-9.040008545
12/2/21,6.119968712,20.77609769,40.08604246,-5.059997559
12/3/21,8.260309577,24.394187,47.51421136,6.899993896
12/6/21,5.419491649,10.71835184,22.56412798,-3.979980469
12/7/21,7.535850227,14.50532186,43.7101419,5.369995117
12/8/21,12.71125591,24.84210557,48.90145588,9.489990234
12/9/21,9.590913236,14.13959476,48.60238707,1.239990234
12/10/21,8.180792212,23.98573843,49.41818556,-3.16998291
12/13/21,4.359616578,7.728368163,27.0472714,4.389984131
12/14/21,1.367320716,20.46031767,43.21759751,-4.16998291
12/15/21,4.826701045,23.6739186,41.37030014,-3.210021973
12/16/21,8.061072111,21.08127737,43.74290657,7.240020752
12/17/21,2.713651985,29.54468602,50.46796501,-4.149993896
12/20/21,1.938428938,10.04713443,22.17461041,-6.58001709
12/21/21,4.842451572,20.22191921,40.61006379,-4.889984131
12/22/21,9.302260756,16.06110042,37.05775222,8.079986572
12/23/21,6.894688427,14.65431899,52.26813412,4.630004883
12/27/21,0.926021039,10.84691232,18.15528023,2.910003662
12/28/21,3.105572283,14.08330739,27.50734288,6.660003662
12/29/21,2.802079678,14.49459815,34.61961713,-0.390014648
12/30/21,8.012408823,12.42257661,30.92450398,0.610015869
12/31/21,4.542939156,17.42007184,30.17811126,-1.320007324
1/3/22,5.578778714,7.955184579,22.36671653,-1.200012207
1/4/22,5.7586326,15.87357983,35.80269721,2.75
1/5/22,5.917302579,18.41082734,37.7281459,-0.160003662
1/6/22,4.765272677,19.77542478,41.92197934,-9.16998291
1/7/22,4.106255263,21.04588026,40.57787335,-0.440002441
1/10/22,1.886403501,7.680760384,25.88067758,-1.850006104
1/11/22,4.913818002,18.96964556,41.65227026,-0.579986572
1/12/22,6.789097309,24.06358501,39.72207078,4.239990234
1/13/22,12.54613757,18.37759349,45.25661942,1.269989014
1/14/22,10.83230409,23.39959365,47.63822573,-6.489990234
1/18/22,3.050809503,17.34168124,25.63722908,0.190002441
1/19/22,5.322993666,20.73795933,35.49636394,-8.230010986
1/20/22,12.18410388,21.24510333,40.24355894,-4.739990234
1/21/22,10.25545803,22.87457862,44.87026951,-5
1/24/22,0.615343869,11.80112934,19.31240731,-8.769989014
1/25/22,5.932506472,22.50532633,35.44325522,1.859985352
1/26/22,14.8340688,25.50529552,42.31322467,-5.369995117
1/27/22,6.054220796,16.3597914,43.37000409,-1.089996338
1/28/22,8.765613317,19.83687192,52.26652753,-2.140014648
1/31/22,2.627682179,9.853036761,20.68513095,10.71002197
2/1/22,3.593041539,16.26961455,39.69052026,7.959991455
